Gene Name,Solyc ID,Solyc_clean,Function/Family,Description,Notes,Original_Solyc_ID,Signature_Class,Confidence,Source_Table,Marker_Aliases,Marker_Category,Priority,Evidence_for_marker_use,Reference_source,ID_Status,Merge_Status,Additional_Notes,Original_Gene_Symbol,Ambiguity_Group,Ambiguity_Version,Panel_Tags
LFS-target OMT/MOMT,Solyc06g083450,Solyc06g083450,O-methyltransferase,Methylated flavonol / myricetin O-methyltransferase-like candidate,Downregulated in SpLFS-VIGS; flavonoid metabolism component; high trichome enrichment in Table 1.,,LFS_specialized_metabolism_target,medium,literature_expansion,LFS-target OMT/MOMT,lfs_specialized_metabolism_panel,Medium,Downregulated in SpLFS-VIGS; flavonoid metabolism component; high trichome enrichment in Table 1.,Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,,LFS-target OMT/MOMT,,,lfs_specialized_metabolism_panel
KAR1,Solyc05g009610,Solyc05g009610,Beta-ketoacyl-ACP reductase,Fatty acid synthase component linked to acylsugar metabolism,Downregulated in SpLFS-VIGS; SpLFS binds promoter of SpKAR1.,,LFS_specialized_metabolism_target,medium,literature_expansion,KAR1,lfs_specialized_metabolism_panel,Medium,Downregulated in SpLFS-VIGS; SpLFS binds promoter of SpKAR1.,Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,,KAR1,,,lfs_specialized_metabolism_panel
KAS III,Solyc08g002520,Solyc08g002520,Beta-ketoacyl-ACP synthase III,Fatty acid synthase component linked to acylsugar metabolism,Downregulated in SpLFS-VIGS; supports acyl-chain biosynthesis branch.,,LFS_specialized_metabolism_target,medium,literature_expansion,KAS III,lfs_specialized_metabolism_panel,Medium,Downregulated in SpLFS-VIGS; supports acyl-chain biosynthesis branch.,Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,,KAS III,,,lfs_specialized_metabolism_panel
KAS II/IV-like version A,Solyc12g004230,Solyc12g004230,Beta-ketoacyl-ACP synthase II/IV-like,Fatty acid synthase component linked to acylsugar metabolism,Sopen12g004230–Sopen12g004240 pair downregulated in SpLFS-VIGS; verify tomato ortholog/version.,,LFS_specialized_metabolism_target,medium,literature_expansion,KAS II/IV-like version A,lfs_specialized_metabolism_panel,Medium,Sopen12g004230–Sopen12g004240 pair downregulated in SpLFS-VIGS; verify tomato ortholog/version.,Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,,KAS II/IV-like version A,,,lfs_specialized_metabolism_panel
KAS II/IV-like version B,Solyc12g004240,Solyc12g004240,Beta-ketoacyl-ACP synthase II/IV-like,Fatty acid synthase component linked to acylsugar metabolism,Sopen12g004230–Sopen12g004240 pair downregulated in SpLFS-VIGS; verify tomato ortholog/version.,,LFS_specialized_metabolism_target,medium,literature_expansion,KAS II/IV-like version B,lfs_specialized_metabolism_panel,Medium,Sopen12g004230–Sopen12g004240 pair downregulated in SpLFS-VIGS; verify tomato ortholog/version.,Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,,KAS II/IV-like version B,,,lfs_specialized_metabolism_panel
SlSVB,Solyc01g100750,Solyc01g100750,epidermis/trichome developmental regulator,SMALLER TRICHOMES / SlSVB; atlas epidermis-trichome GRN node,Confirmed from Tian preprint figure as Solyc01g100750.2; previously appeared as an unannotated marker in trichome subclusters.,,atlas_epidermis_trichome_context,high,manual_Tian_preprint_rescue,SlSVB; SVB; SMALLER TRICHOMES,atlas_epidermis_trichome_context,High,Atlas epidermis/trichome GRN node; expression shown in Tian preprint figure.,Tian tomato shoot-apex atlas/preprint figure,confirmed_from_Tian_preprint_figure,manual_rescue,Use as developmental-context marker; not a mature trichome-type marker.,SlSVB,,,atlas_epidermis_context_panel; atlas_developmental_GRN_panel; wo_brc2a_morphogenesis_panel
SlCD2/ANL2,Solyc01g091630,Solyc01g091630,HD-ZIP IV / cuticle-epidermal regulator,Atlas trichome/cuticle subcluster marker; overlaps with CD2/ANL2,Same locus as CD2 row; canonical alias added.,,Atlas_epidermis_trichome_context,medium,literature_expansion,SlCD2/ANL2,atlas_epidermis_context_panel,Medium,Same locus as CD2 row; canonical alias added.,Tian 2020 tomato shoot apex snRNA-seq atlas,confirmed_from_literature,literature_expanded,,SlCD2/ANL2,,,atlas_epidermis_context_panel
SlPDF1,Solyc07g055950,Solyc07g055950,Protodermal factor / epidermal identity marker,Protodermal factor 1; epidermal/L1 marker,ITAG4.1 hit: Protodermal factor.1; reported as SlPDF1 / Solyc07g055950.,,atlas_epidermis_context,high,manual_literature_and_ITAG41_rescue,SlPDF1; PDF1; Protodermal factor 1,epidermal_identity_marker,High,Protodermal/epidermal identity marker and atlas epidermis trajectory/GRN context.,ITAG4.1 descriptions; tomato epidermal marker literature,confirmed_from_literature_and_ITAG41,manual_rescue,Use as epidermal/protoderm marker.,SlPDF1,,,atlas_epidermis_context_panel; atlas_developmental_GRN_panel
SlPDF2,Solyc06g035940,Solyc06g035940,HD-Zip IV / protodermal factor-like transcription factor,Putative Protodermal Factor 2; epidermal/protoderm context marker,"Provisional tomato PDF2 candidate; use as PDF2-like, not final canonical until confirmed with SGN or atlas supplementary table.",,atlas_epidermis_context,medium,manual_literature_search_rescue,SlPDF2; PDF2-like; Protodermal factor 2 candidate,epidermal_identity_marker,Medium,Putative protodermal factor 2 candidate; useful but provisional epidermal marker.,literature search / thesis table; verify later,putative_recovered_from_literature_search_verify,manual_rescue_provisional,Treat as PDF2-like candidate; do not use for strong claims without validation.,SlPDF2,,,atlas_epidermis_context_panel; atlas_developmental_GRN_panel
SlML1,Solyc10g005330,Solyc10g005330,HD-Zip IV / epidermal identity transcription factor,Meristem Layer 1; epidermal/L1 marker,Tomato L1/epidermal marker; reported as SlML1 / Solyc10g005330.,,atlas_epidermis_context,high,manual_literature_rescue,SlML1; ML1; Meristem Layer 1,epidermal_identity_marker,High,Epidermal/L1 identity context marker.,tomato periclinal chimera / epidermal marker literature,confirmed_from_literature,manual_rescue,Use to define epidermal/protoderm context.,SlML1,,,atlas_epidermis_context_panel; atlas_developmental_GRN_panel
SlANT,Solyc04g077490,Solyc04g077490,AP2/ERF transcription factor,AINTEGUMENTA-like developmental regulator; organ initiation / primordium growth context marker,Confirmed manually from SGN and atlas database; detected in atlas as Solyc04g077490.3.,,phase_change_developmental_context,high,manual_SGN_and_atlas_rescue,SlANT; ANT; AINTEGUMENTA,AP2_ERF_developmental_context,High,Developmental-context marker for organ initiation/primordium growth; not a trichome-type marker.,SGN and atlas database confirmation,confirmed_from_SGN_and_detected_in_atlas,manual_rescue,Include in epidermis/meristem developmental-context panels.,SlANT,,,atlas_epidermis_context_panel; phase_change_ap2_spl_panel; atlas_developmental_GRN_panel
SlySBP8a,Solyc10g018780,Solyc10g018780,SBP/SPL transcription factor,Squamosa promoter binding protein 8a; developmental SBP-box transcription factor,Found in SGN; relevant to SPL/SBP developmental timing and atlas SlSPL8 context.,,phase_change_developmental_context,high,manual_SGN_rescue,SlySBP8a; SlSPL8-like; SBP8a,SBP/SPL_transcription_factor,High,Relevant to miR156/SPL developmental timing and atlas SlSPL8 context.,SGN manual lookup,confirmed_from_SGN,manual_added,Use as SPL/SBP developmental-context marker; confirm whether atlas SlSPL8 corresponds exactly to this locus before final claims.,,,,phase_change_ap2_spl_panel; atlas_epidermis_context_panel; atlas_developmental_GRN_panel
NPDS1 / NDPS1 version C,Solyc08g005660,Solyc08g005660,cis-prenyltransferase / neryl diphosphate synthase,Neryl diphosphate synthase 1; glandular trichome-associated monoterpene precursor enzyme,Found in SGN as NPDS1. Keep separate from existing NDPS1/NDPS-like IDs Solyc08g005673 and Solyc08g005680; verify canonical locus before final interpretation.,,Type_VI_like_metabolic,medium,manual_SGN_rescue,NPDS1; NDPS1; neryl diphosphate synthase 1,VI_terpene_metabolic_output,Medium,SGN describes enzyme as glandular-trichome-associated neryl diphosphate synthase.,SGN manual lookup,confirmed_from_SGN_but_conflicts_with_existing_NDPS_rows,manual_added_versioned,Use cautiously; compare with NDPS1 rows before interpreting terpene metabolism.,,,,metabolic_output_panel; vi_metabolic_panel
